ts,block_type,n_blocks
2018/11/29 3:44:56 AM,blocks_sent,20
2018/11/29 3:44:56 AM,blocks_dup,0
2018/11/29 3:47:00 AM,blocks_recv,0
2018/11/29 3:47:00 AM,blocks_sent,20
2018/11/29 3:47:00 AM,blocks_dup,0
2018/11/29 3:49:03 AM,blocks_recv,0
2018/11/29 3:49:03 AM,blocks_sent,20
2018/11/29 3:49:03 AM,blocks_dup,0
2018/11/29 3:51:08 AM,blocks_recv,0
2018/11/29 3:51:08 AM,blocks_sent,20
2018/11/29 3:51:08 AM,blocks_dup,0
2018/11/29 3:53:11 AM,blocks_recv,0
2018/11/29 3:53:11 AM,blocks_sent,20
2018/11/29 3:53:11 AM,blocks_dup,0
2018/11/29 3:55:15 AM,blocks_recv,0
2018/11/29 3:55:15 AM,blocks_sent,20
2018/11/29 3:55:15 AM,blocks_dup,0
2018/11/29 3:57:19 AM,blocks_recv,0
2018/11/29 3:57:19 AM,blocks_sent,20
2018/11/29 3:57:19 AM,blocks_dup,0
2018/11/29 3:59:23 AM,blocks_recv,0
2018/11/29 3:59:23 AM,blocks_sent,20
2018/11/29 3:59:23 AM,blocks_dup,0
2018/11/29 4:01:26 AM,blocks_recv,0
2018/11/29 4:01:26 AM,blocks_sent,20
2018/11/29 4:01:26 AM,blocks_dup,0
2018/11/29 4:03:30 AM,blocks_recv,0
2018/11/29 4:03:30 AM,blocks_sent,20
2018/11/29 4:03:30 AM,blocks_dup,0
2018/11/29 4:05:43 AM,blocks_recv,0
2018/11/29 4:05:43 AM,blocks_sent,20
2018/11/29 4:05:43 AM,blocks_dup,0
2018/11/29 4:07:46 AM,blocks_recv,0
2018/11/29 4:07:46 AM,blocks_sent,20
2018/11/29 4:07:46 AM,blocks_dup,0
2018/11/29 4:09:50 AM,blocks_recv,0
2018/11/29 4:09:50 AM,blocks_sent,20
2018/11/29 4:09:50 AM,blocks_dup,0
2018/11/29 4:11:53 AM,blocks_recv,0
2018/11/29 4:11:53 AM,blocks_sent,20
2018/11/29 4:11:53 AM,blocks_dup,0
2018/11/29 4:13:56 AM,blocks_recv,0
2018/11/29 4:13:56 AM,blocks_sent,20
2018/11/29 4:13:56 AM,blocks_dup,0
2018/11/29 4:16:02 AM,blocks_recv,0
2018/11/29 4:16:02 AM,blocks_sent,20
2018/11/29 4:16:02 AM,blocks_dup,0
2018/11/29 4:18:07 AM,blocks_recv,0
2018/11/29 4:18:07 AM,blocks_sent,20
